time,module,kind,amount
22.06.16-16:13:41.851, 41c8217b,dust,1
22.06.16-16:13:42.756, 41c8217b,dust,7
22.06.16-16:13:43.663, 41c8217b,dust,252
22.06.16-16:13:44.574, 41c8217b,dust,2
22.06.16-16:13:45.484, 41c8217b,dust,6
22.06.16-16:13:46.396, 41c8217b,dust,6
22.06.16-16:13:47.304, 41c8217b,dust,10
22.06.16-16:13:48.214, 41c8217b,dust,13
22.06.16-16:13:49.121, 41c8217b,dust,16
22.06.16-16:13:50.034, 41c8217b,dust,24
22.06.16-16:13:50.943, 41c8217b,dust,24
22.06.16-16:13:51.854, 41c8217b,dust,29
22.06.16-16:13:52.764, 41c8217b,dust,28
22.06.16-16:13:53.674, 41c8217b,dust,29
22.06.16-16:13:54.583, 41c8217b,dust,30
22.06.16-16:13:55.493, 41c8217b,dust,39
22.06.16-16:13:56.326, 41c8217b,dust,39
22.06.16-16:13:57.236, 41c8217b,dust,43
22.06.16-16:13:58.144, 41c8217b,dust,36
22.06.16-16:13:59.054, 41c8217b,dust,30
22.06.16-16:13:59.963, 41c8217b,dust,29
22.06.16-16:14:00.876, 41c8217b,dust,28
22.06.16-16:14:01.786, 41c8217b,dust,17
22.06.16-16:14:02.694, 41c8217b,dust,17
22.06.16-16:14:03.603, 41c8217b,dust,10
22.06.16-16:14:04.513, 41c8217b,dust,5
22.06.16-16:14:05.422, 41c8217b,dust,3
22.06.16-16:14:06.330, 41c8217b,dust,252
22.06.16-16:14:07.239, 41c8217b,dust,249
22.06.16-16:14:08.148, 41c8217b,dust,246
22.06.16-16:14:09.056, 41c8217b,dust,240
22.06.16-16:14:09.966, 41c8217b,dust,236
22.06.16-16:14:10.799, 41c8217b,dust,238
22.06.16-16:14:11.708, 41c8217b,dust,234
22.06.16-16:14:12.543, 41c8217b,dust,234
22.06.16-16:14:13.453, 41c8217b,dust,234
22.06.16-16:14:14.361, 41c8217b,dust,230
22.06.16-16:14:15.271, 41c8217b,dust,226
22.06.16-16:14:16.180, 41c8217b,dust,225
22.06.16-16:14:17.089, 41c8217b,dust,221
22.06.16-16:14:17.997, 41c8217b,dust,222
22.06.16-16:14:18.907, 41c8217b,dust,222
22.06.16-16:14:19.816, 41c8217b,dust,218
22.06.16-16:14:20.726, 41c8217b,dust,216
22.06.16-16:14:21.636, 41c8217b,dust,210
22.06.16-16:14:22.544, 41c8217b,dust,205
22.06.16-16:14:23.453, 41c8217b,dust,207
22.06.16-16:14:24.360, 41c8217b,dust,207
22.06.16-16:14:25.195, 41c8217b,dust,207
22.06.16-16:14:26.104, 41c8217b,dust,206
22.06.16-16:14:26.937, 41c8217b,dust,206
22.06.16-16:14:27.845, 41c8217b,dust,207
22.06.16-16:14:28.678, 41c8217b,dust,206
22.06.16-16:14:29.589, 41c8217b,dust,205
22.06.16-16:14:30.421, 41c8217b,dust,205
22.06.16-16:14:31.331, 41c8217b,dust,205
22.06.16-16:14:32.163, 41c8217b,dust,206
22.06.16-16:14:33.072, 41c8217b,dust,207
22.06.16-16:14:33.906, 41c8217b,dust,207
22.06.16-16:14:34.815, 41c8217b,dust,205
22.06.16-16:14:35.648, 41c8217b,dust,205
22.06.16-16:14:36.558, 41c8217b,dust,200
22.06.16-16:14:37.465, 41c8217b,dust,196
22.06.16-16:14:38.374, 41c8217b,dust,199
22.06.16-16:14:39.283, 41c8217b,dust,196
22.06.16-16:14:40.193, 41c8217b,dust,197
22.06.16-16:14:41.100, 41c8217b,dust,198
22.06.16-16:14:42.717, 41c8217b,dust,197
22.06.16-16:14:42.918, 41c8217b,dust,198
22.06.16-16:14:43.827, 41c8217b,dust,200
22.06.16-16:14:44.737, 41c8217b,dust,195
22.06.16-16:14:45.645, 41c8217b,dust,194
22.06.16-16:14:46.556, 41c8217b,dust,195
22.06.16-16:14:47.462, 41c8217b,dust,196
22.06.16-16:14:48.296, 41c8217b,dust,196
22.06.16-16:14:49.205, 41c8217b,dust,196
22.06.16-16:14:50.037, 41c8217b,dust,197
22.06.16-16:14:50.946, 41c8217b,dust,198
22.06.16-16:14:51.780, 41c8217b,dust,198
22.06.16-16:14:52.686, 41c8217b,dust,195
22.06.16-16:14:53.521, 41c8217b,dust,195
22.06.16-16:14:54.431, 41c8217b,dust,195
22.06.16-16:14:55.337, 41c8217b,dust,197
22.06.16-16:14:56.248, 41c8217b,dust,196
22.06.16-16:14:57.157, 41c8217b,dust,197
22.06.16-16:14:58.063, 41c8217b,dust,199
22.06.16-16:14:58.393, 41c82c24,dust,6
22.06.16-16:14:58.972, 41c8217b,dust,200
22.06.16-16:14:59.303, 41c82c24,dust,134
22.06.16-16:14:59.882, 41c8217b,dust,200
22.06.16-16:15:00.214, 41c82c24,dust,212
22.06.16-16:15:00.792, 41c8217b,dust,203
22.06.16-16:15:01.126, 41c82c24,dust,21
22.06.16-16:15:01.701, 41c8217b,dust,203
22.06.16-16:15:02.035, 41c82c24,dust,37
22.06.16-16:15:02.612, 41c8217b,dust,207
22.06.16-16:15:02.948, 41c82c24,dust,46
22.06.16-16:15:03.520, 41c8217b,dust,207
22.06.16-16:15:03.858, 41c82c24,dust,20
22.06.16-16:15:04.427, 41c8217b,dust,207
22.06.16-16:15:04.770, 41c82c24,dust,27
22.06.16-16:15:05.336, 41c8217b,dust,205
22.06.16-16:15:05.680, 41c82c24,dust,33
22.06.16-16:15:06.246, 41c8217b,dust,209
22.06.16-16:15:06.592, 41c82c24,dust,35
22.06.16-16:15:07.155, 41c8217b,dust,209
22.06.16-16:15:07.504, 41c82c24,dust,59
22.06.16-16:15:08.065, 41c8217b,dust,210
22.06.16-16:15:08.416, 41c82c24,dust,59
22.06.16-16:15:08.972, 41c8217b,dust,211
22.06.16-16:15:09.327, 41c82c24,dust,64
22.06.16-16:15:09.805, 41c8217b,dust,211
22.06.16-16:15:10.238, 41c82c24,dust,56
22.06.16-16:15:10.713, 41c8217b,dust,211
22.06.16-16:15:11.150, 41c82c24,dust,55
22.06.16-16:15:11.548, 41c8217b,dust,211
22.06.16-16:15:12.063, 41c82c24,dust,58
22.06.16-16:15:12.456, 41c8217b,dust,213
22.06.16-16:15:12.975, 41c82c24,dust,55
22.06.16-16:15:13.293, 41c8217b,dust,213
22.06.16-16:15:13.888, 41c82c24,dust,57
22.06.16-16:15:14.196, 41c8217b,dust,217
22.06.16-16:15:14.800, 41c82c24,dust,55
22.06.16-16:15:15.105, 41c8217b,dust,216
22.06.16-16:15:15.713, 41c82c24,dust,65
22.06.16-16:15:16.014, 41c8217b,dust,217
22.06.16-16:15:16.545, 41c82c24,dust,65
22.06.16-16:15:16.921, 41c8217b,dust,218
22.06.16-16:15:17.457, 41c82c24,dust,68
22.06.16-16:15:17.831, 41c8217b,dust,217
22.06.16-16:15:18.290, 41c82c24,dust,68
22.06.16-16:15:18.740, 41c8217b,dust,223
22.06.16-16:15:19.202, 41c82c24,dust,70
22.06.16-16:15:19.649, 41c8217b,dust,226
22.06.16-16:15:20.034, 41c82c24,dust,70
22.06.16-16:15:20.561, 41c8217b,dust,225
22.06.16-16:15:20.947, 41c82c24,dust,66
22.06.16-16:15:21.468, 41c8217b,dust,225
22.06.16-16:15:21.779, 41c82c24,dust,62
22.06.16-16:15:22.379, 41c8217b,dust,229
22.06.16-16:15:22.692, 41c82c24,dust,64
22.06.16-16:15:23.286, 41c8217b,dust,225
22.06.16-16:15:23.524, 41c82c24,dust,64
22.06.16-16:15:24.197, 41c8217b,dust,229
22.06.16-16:15:24.437, 41c82c24,dust,64
22.06.16-16:15:25.104, 41c8217b,dust,229
22.06.16-16:15:25.270, 41c82c24,dust,64
22.06.16-16:15:25.938, 41c8217b,dust,229
22.06.16-16:15:26.182, 41c82c24,dust,65
22.06.16-16:15:26.847, 41c8217b,dust,233
22.06.16-16:15:27.095, 41c82c24,dust,66
22.06.16-16:15:27.757, 41c8217b,dust,232
22.06.16-16:15:28.005, 41c82c24,dust,69
22.06.16-16:15:28.666, 41c8217b,dust,235
22.06.16-16:15:28.917, 41c82c24,dust,67
22.06.16-16:15:29.575, 41c8217b,dust,234
22.06.16-16:15:29.829, 41c82c24,dust,68
22.06.16-16:15:30.484, 41c8217b,dust,235
22.06.16-16:15:30.741, 41c82c24,dust,61
22.06.16-16:15:31.393, 41c8217b,dust,239
22.06.16-16:15:31.653, 41c82c24,dust,66
22.06.16-16:15:32.302, 41c8217b,dust,239
22.06.16-16:15:32.566, 41c82c24,dust,65
22.06.16-16:15:33.210, 41c8217b,dust,238
22.06.16-16:15:33.476, 41c82c24,dust,61
22.06.16-16:15:34.120, 41c8217b,dust,243
22.06.16-16:15:34.390, 41c82c24,dust,73
22.06.16-16:15:35.028, 41c8217b,dust,243
22.06.16-16:15:35.305, 41c82c24,dust,70
22.06.16-16:15:35.938, 41c8217b,dust,243
22.06.16-16:15:36.213, 41c82c24,dust,69
22.06.16-16:15:36.846, 41c8217b,dust,243
22.06.16-16:15:37.126, 41c82c24,dust,62
22.06.16-16:15:37.755, 41c8217b,dust,236
22.06.16-16:15:37.959, 41c82c24,dust,62
22.06.16-16:15:38.589, 41c8217b,dust,236
22.06.16-16:15:38.873, 41c82c24,dust,65
22.06.16-16:15:39.496, 41c8217b,dust,231
22.06.16-16:15:39.706, 41c82c24,dust,64
22.06.16-16:15:40.404, 41c8217b,dust,229
22.06.16-16:15:40.620, 41c82c24,dust,66
22.06.16-16:15:41.314, 41c8217b,dust,226
22.06.16-16:15:41.452, 41c82c24,dust,66
22.06.16-16:15:42.223, 41c8217b,dust,222
22.06.16-16:15:42.364, 41c82c24,dust,70
22.06.16-16:15:43.133, 41c8217b,dust,221
22.06.16-16:15:43.196, 41c82c24,dust,72
22.06.16-16:15:44.042, 41c8217b,dust,223
22.06.16-16:15:44.109, 41c82c24,dust,76
22.06.16-16:15:44.951, 41c8217b,dust,222
22.06.16-16:15:45.023, 41c82c24,dust,78
22.06.16-16:15:45.865, 41c8217b,dust,219
22.06.16-16:15:45.936, 41c82c24,dust,78
22.06.16-16:15:46.769, 41c8217b,dust,221
22.06.16-16:15:46.849, 41c82c24,dust,80
22.06.16-16:15:47.681, 41c8217b,dust,221
22.06.16-16:15:47.760, 41c82c24,dust,79
22.06.16-16:15:48.589, 41c8217b,dust,225
22.06.16-16:15:48.672, 41c82c24,dust,75
22.06.16-16:15:49.500, 41c8217b,dust,227
22.06.16-16:15:49.584, 41c82c24,dust,73
22.06.16-16:15:50.409, 41c8217b,dust,224
22.06.16-16:15:50.496, 41c82c24,dust,78
22.06.16-16:15:51.245, 41c8217b,dust,224
22.06.16-16:15:51.410, 41c82c24,dust,75
22.06.16-16:15:52.154, 41c8217b,dust,227
22.06.16-16:15:52.322, 41c82c24,dust,78
22.06.16-16:15:52.985, 41c8217b,dust,227
22.06.16-16:15:53.234, 41c82c24,dust,74
22.06.16-16:15:53.904, 41c8217b,dust,232
22.06.16-16:15:54.147, 41c82c24,dust,71
22.06.16-16:15:54.729, 41c8217b,dust,232
22.06.16-16:15:55.059, 41c82c24,dust,76
22.06.16-16:15:55.638, 41c8217b,dust,229
22.06.16-16:15:55.891, 41c82c24,dust,76
22.06.16-16:15:56.471, 41c8217b,dust,229
22.06.16-16:15:56.808, 41c82c24,dust,72
22.06.16-16:15:57.381, 41c8217b,dust,228
22.06.16-16:15:57.640, 41c82c24,dust,72
22.06.16-16:15:58.214, 41c8217b,dust,228
